Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date
ORD2529182,CUS2271,B2C,Chardonnay,Alcoholic Beverages,4.74,2,0.0,9.48,Bremen,2021-07-03
ORD1807295,CUS4317,B2C,Vittel,Water,0.65,13,0.0,8.45,Sachsen-Anhalt,2023-06-10
ORD312965,CUS5308,B2C,Evian,Water,1.26,14,0.0,17.64,Hamburg,2022-01-21
ORD479354,CUS8024,B2C,Cranberry Juice,Juices,3.67,12,0.0,44.04,Schleswig-Holstein,2023-10-21
ORD2237873,CUS8823,B2C,Gerolsteiner,Water,1.04,15,0.0,15.6,Bayern,2022-01-21
ORD2857411,CUS845,B2C,Monster,Soft Drinks,3.12,1,0.0,3.12,Hessen,2021-09-26
ORD2962660,CUS8076,B2C,Gerolsteiner,Water,1.01,7,0.0,7.07,Baden-Württemberg,2021-03-29
ORD2661301,CUS6407,B2C,Coca-Cola,Soft Drinks,1.1,12,0.0,13.2,Nordrhein-Westfalen,2023-03-02
ORD349628,CUS5983,B2C,Riesling,Alcoholic Beverages,4.07,3,0.0,12.21,Schleswig-Holstein,2021-09-16
ORD1870928,CUS9218,B2C,Tomato Juice,Juices,3.33,6,0.0,19.98,Sachsen,2022-05-12
ORD1938495,CUS1187,B2C,Riesling,Alcoholic Beverages,4.32,12,0.0,51.84,Thüringen,2023-10-16
ORD1110939,CUS3591,B2C,Augustiner,Alcoholic Beverages,1.12,2,0.0,2.24,Baden-Württemberg,2022-01-11
ORD1168279,CUS9709,B2C,Red Bull,Soft Drinks,2.35,8,0.0,18.8,Bayern,2023-12-24
ORD2894214,CUS9185,B2B,Sauvignon Blanc,Alcoholic Beverages,5.34,13,0.05,65.95,Niedersachsen,2021-05-28
ORD434083,CUS7675,B2B,Rauch Multivitamin,Juices,2.66,62,0.05,156.67,Sachsen,2022-11-14
ORD293009,CUS3166,B2C,Apollinaris,Water,0.96,10,0.0,9.6,Sachsen-Anhalt,2022-03-09
ORD828077,CUS4271,B2B,Club Mate,Soft Drinks,2.59,93,0.15,204.74,Thüringen,2022-09-13
ORD162315,CUS5659,B2B,Granini Apple,Juices,2.59,100,0.1,233.1,Schleswig-Holstein,2023-08-18
ORD2996463,CUS8496,B2B,Evian,Water,1.08,70,0.05,71.82,Nordrhein-Westfalen,2021-05-16
ORD1956473,CUS16,B2C,Sprite,Soft Drinks,0.53,5,0.0,2.65,Berlin,2021-03-30
ORD2625299,CUS5115,B2C,Tomato Juice,Juices,3.43,8,0.0,27.44,Hamburg,2023-05-29
ORD1253702,CUS7985,B2B,Tanqueray,Alcoholic Beverages,17.42,12,0.05,198.59,Rheinland-Pfalz,2021-03-05
ORD2696491,CUS9316,B2C,Riesling,Alcoholic Beverages,4.88,9,0.0,43.92,Rheinland-Pfalz,2021-12-07
ORD444691,CUS8263,B2B,Volvic,Water,0.56,40,0.05,21.28,Schleswig-Holstein,2023-03-31
ORD2046217,CUS8030,B2C,Selters,Water,0.47,9,0.0,4.23,Schleswig-Holstein,2022-09-01
ORD1252805,CUS2425,B2B,Selters,Water,0.92,81,0.15,63.34,Niedersachsen,2021-11-01
ORD1847850,CUS2414,B2C,Mezzo Mix,Soft Drinks,0.61,12,0.0,7.32,Nordrhein-Westfalen,2022-02-16
ORD1937893,CUS8676,B2B,Bacardi,Alcoholic Beverages,20.63,10,0.05,195.98,Sachsen,2023-03-22
ORD1490001,CUS8924,B2B,Fritz-Kola,Soft Drinks,2.15,22,0.05,44.93,Niedersachsen,2021-02-19
ORD1175224,CUS8985,B2B,Riesling,Alcoholic Beverages,4.56,27,0.05,116.96,Bremen,2021-08-30
ORD2510196,CUS4485,B2C,Mountain Dew,Soft Drinks,0.96,4,0.0,3.84,Saarland,2022-03-21
ORD2621417,CUS9987,B2C,Warsteiner,Alcoholic Beverages,1.05,13,0.0,13.65,Bayern,2022-05-26
ORD2877502,CUS431,B2B,Tanqueray,Alcoholic Beverages,23.4,18,0.05,400.14,Thüringen,2023-09-07
ORD1077417,CUS3932,B2C,Kölsch,Alcoholic Beverages,0.93,1,0.0,0.93,Niedersachsen,2021-01-18
ORD2468187,CUS3782,B2C,Fritz-Kola,Soft Drinks,1.99,9,0.0,17.91,Rheinland-Pfalz,2021-09-02
ORD1448377,CUS3417,B2C,Mezzo Mix,Soft Drinks,0.59,5,0.0,2.95,Bremen,2021-12-06
ORD1902997,CUS4372,B2C,Pepsi,Soft Drinks,1.58,3,0.0,4.74,Schleswig-Holstein,2023-03-12
ORD166561,CUS1914,B2C,Mango Juice,Juices,3.12,1,0.0,3.12,Brandenburg,2021-04-01
ORD916675,CUS5125,B2B,Selters,Water,1.16,53,0.05,58.41,Hamburg,2021-07-19
ORD2136868,CUS1511,B2C,Johnnie Walker,Alcoholic Beverages,35.52,10,0.0,355.2,Sachsen-Anhalt,2021-08-22
ORD2596875,CUS1841,B2C,Rauch Multivitamin,Juices,2.38,4,0.0,9.52,Sachsen,2022-11-16
ORD512749,CUS3043,B2C,Chardonnay,Alcoholic Beverages,4.74,11,0.0,52.14,Sachsen-Anhalt,2021-10-24
ORD353298,CUS4292,B2C,Augustiner,Alcoholic Beverages,1.16,1,0.0,1.16,Thüringen,2023-07-03
ORD1015311,CUS4445,B2C,Mountain Dew,Soft Drinks,0.96,2,0.0,1.92,Nordrhein-Westfalen,2022-04-23
ORD364245,CUS8064,B2B,Moët & Chandon,Alcoholic Beverages,77.87,71,0.1,4975.89,Nordrhein-Westfalen,2021-11-14
ORD599838,CUS7338,B2B,Kölsch,Alcoholic Beverages,1.47,54,0.1,71.44,Niedersachsen,2021-03-17
ORD1028981,CUS43,B2C,Johnnie Walker,Alcoholic Beverages,35.52,11,0.0,390.72,Thüringen,2021-12-23
ORD2690331,CUS5181,B2C,Gerolsteiner,Water,1.07,5,0.0,5.35,Nordrhein-Westfalen,2023-06-18
ORD98617,CUS1902,B2B,Gerolsteiner,Water,0.57,17,0.05,9.21,Niedersachsen,2022-04-28
ORD655047,CUS8062,B2C,Cranberry Juice,Juices,3.67,15,0.0,55.05,Thüringen,2023-03-17
ORD1720511,CUS1012,B2B,Pepsi,Soft Drinks,0.8,54,0.1,38.88,Bremen,2021-04-25
ORD2129537,CUS563,B2B,Volvic,Water,0.78,63,0.1,44.23,Berlin,2021-09-13
ORD7937,CUS1484,B2B,Monster,Soft Drinks,2.84,1,0.15,2.41,Hamburg,2023-12-25
ORD2917949,CUS8696,B2C,San Pellegrino,Water,0.89,14,0.0,12.46,Bayern,2022-05-28
ORD2039993,CUS6169,B2C,Johnnie Walker,Alcoholic Beverages,35.52,10,0.0,355.2,Baden-Württemberg,2021-02-21
ORD2577558,CUS3883,B2C,Tomato Juice,Juices,3.33,10,0.0,33.3,Schleswig-Holstein,2022-01-31
ORD1805239,CUS8132,B2C,Warsteiner,Alcoholic Beverages,1.08,11,0.0,11.88,Rheinland-Pfalz,2023-05-20
ORD1219024,CUS5190,B2B,Havana Club,Alcoholic Beverages,17.35,4,0.15,58.99,Niedersachsen,2021-01-29
ORD293788,CUS2929,B2C,Augustiner,Alcoholic Beverages,1.16,5,0.0,5.8,Rheinland-Pfalz,2023-11-20
ORD170069,CUS4346,B2C,Chardonnay,Alcoholic Beverages,4.88,11,0.0,53.68,Hamburg,2022-08-13
ORD201681,CUS3404,B2B,Warsteiner,Alcoholic Beverages,1.56,54,0.1,75.82,Hamburg,2022-01-30
ORD2998852,CUS6483,B2C,San Pellegrino,Water,0.86,15,0.0,12.9,Mecklenburg-Vorpommern,2021-07-24
ORD1481705,CUS5812,B2B,Cranberry Juice,Juices,3.06,70,0.1,192.78,Bayern,2021-10-03
ORD627642,CUS4893,B2B,Passion Fruit Juice,Juices,3.49,82,0.1,257.56,Baden-Württemberg,2021-10-04
ORD2184449,CUS7678,B2C,Fanta,Soft Drinks,1.16,1,0.0,1.16,Sachsen-Anhalt,2021-12-18
ORD805041,CUS404,B2B,Rauch Multivitamin,Juices,2.46,76,0.05,177.61,Bayern,2021-08-13
ORD2453330,CUS8756,B2C,Beck's,Alcoholic Beverages,1.46,9,0.0,13.14,Saarland,2021-06-06
ORD1319415,CUS4267,B2B,Pepsi,Soft Drinks,0.82,9,0.05,7.01,Saarland,2023-08-08
ORD2721733,CUS9686,B2B,Volvic,Water,0.87,40,0.1,31.32,Hamburg,2022-12-30
ORD1450450,CUS2977,B2C,Schwip Schwap,Soft Drinks,1.24,13,0.0,16.12,Schleswig-Holstein,2022-01-08
ORD1722665,CUS4612,B2B,Granini Apple,Juices,1.3,59,0.1,69.03,Mecklenburg-Vorpommern,2023-02-20
ORD278921,CUS5071,B2B,Warsteiner,Alcoholic Beverages,0.91,22,0.05,19.02,Hessen,2021-04-27
ORD1298677,CUS9501,B2C,Tomato Juice,Juices,3.43,8,0.0,27.44,Schleswig-Holstein,2023-11-08
ORD1415526,CUS3130,B2C,Johnnie Walker,Alcoholic Beverages,37.69,6,0.0,226.14,Sachsen-Anhalt,2023-07-24
ORD802253,CUS9902,B2C,Mango Juice,Juices,3.31,12,0.0,39.72,Saarland,2023-07-14
ORD1683563,CUS571,B2C,Selters,Water,0.46,11,0.0,5.06,Baden-Württemberg,2021-08-17
ORD326939,CUS463,B2C,Moët & Chandon,Alcoholic Beverages,60.58,1,0.0,60.58,Saarland,2023-01-01
ORD317106,CUS2640,B2C,Gerolsteiner,Water,1.01,14,0.0,14.14,Sachsen-Anhalt,2021-05-29
ORD2091579,CUS573,B2C,Mango Juice,Juices,3.21,6,0.0,19.26,Berlin,2022-11-22
ORD448633,CUS6785,B2B,Coca-Cola,Soft Drinks,0.81,38,0.05,29.24,Brandenburg,2021-04-20
ORD2646664,CUS2197,B2C,Evian,Water,1.31,14,0.0,18.34,Sachsen-Anhalt,2023-03-29
ORD1825915,CUS1270,B2C,Mountain Dew,Soft Drinks,0.96,9,0.0,8.64,Niedersachsen,2022-07-31
ORD2747337,CUS4770,B2B,Tomato Juice,Juices,3.8,13,0.1,44.46,Mecklenburg-Vorpommern,2021-02-23
ORD583140,CUS5377,B2B,Havana Club,Alcoholic Beverages,24.91,62,0.1,1389.98,Schleswig-Holstein,2022-05-29
ORD2876553,CUS2213,B2B,Gerolsteiner,Water,1.03,93,0.1,86.21,Hamburg,2021-09-21
ORD787543,CUS4405,B2B,Mango Juice,Juices,3.71,84,0.15,264.89,Mecklenburg-Vorpommern,2023-01-01
ORD2795225,CUS3017,B2B,Cranberry Juice,Juices,3.18,65,0.05,196.36,Baden-Württemberg,2021-03-09
ORD2427160,CUS6385,B2C,Club Mate,Soft Drinks,2.26,10,0.0,22.6,Schleswig-Holstein,2023-02-22
ORD1677623,CUS9724,B2C,Augustiner,Alcoholic Beverages,1.09,10,0.0,10.9,Rheinland-Pfalz,2021-12-31
ORD2455423,CUS8283,B2C,Selters,Water,0.46,13,0.0,5.98,Bayern,2021-10-23
ORD1864407,CUS9566,B2C,Mountain Dew,Soft Drinks,0.99,14,0.0,13.86,Sachsen-Anhalt,2023-03-21
ORD876304,CUS2908,B2B,Pepsi,Soft Drinks,1.4,94,0.1,118.44,Brandenburg,2022-06-21
ORD29340,CUS7864,B2C,Chardonnay,Alcoholic Beverages,5.03,4,0.0,20.12,Mecklenburg-Vorpommern,2023-07-29
ORD2929825,CUS580,B2B,Fritz-Kola,Soft Drinks,2.22,8,0.05,16.87,Bayern,2023-10-17
ORD1502446,CUS579,B2C,Vittel,Water,0.58,12,0.0,6.96,Saarland,2022-05-16
ORD1832238,CUS1622,B2B,Rauch Multivitamin,Juices,2.91,93,0.1,243.57,Schleswig-Holstein,2023-02-22
ORD2799634,CUS9472,B2B,Mango Juice,Juices,2.77,3,0.1,7.48,Bayern,2021-08-14
ORD1907217,CUS9504,B2C,Vittel,Water,0.56,7,0.0,3.92,Brandenburg,2021-05-17
ORD2586561,CUS4444,B2C,Gerolsteiner,Water,1.01,15,0.0,15.15,Rheinland-Pfalz,2021-09-16
ORD566568,CUS9206,B2C,Hohes C Orange,Juices,1.75,6,0.0,10.5,Bayern,2021-04-13
ORD953669,CUS8607,B2C,San Pellegrino,Water,0.89,3,0.0,2.67,Schleswig-Holstein,2022-01-12
ORD1439318,CUS9770,B2C,Monster,Soft Drinks,3.12,2,0.0,6.24,Berlin,2021-10-26
ORD265443,CUS5276,B2B,Volvic,Water,0.73,25,0.05,17.34,Rheinland-Pfalz,2022-09-09
ORD2498021,CUS9939,B2B,Sauvignon Blanc,Alcoholic Beverages,5.53,73,0.15,343.14,Rheinland-Pfalz,2023-06-09
ORD1006650,CUS9861,B2B,Mezzo Mix,Soft Drinks,1.08,59,0.05,60.53,Brandenburg,2023-08-11
ORD1950311,CUS5466,B2C,Club Mate,Soft Drinks,2.13,3,0.0,6.39,Sachsen-Anhalt,2021-01-21
ORD2750904,CUS9199,B2B,Vittel,Water,0.62,90,0.1,50.22,Baden-Württemberg,2022-10-19
ORD2732273,CUS2351,B2C,Vio Wasser,Water,1.71,4,0.0,6.84,Schleswig-Holstein,2023-09-11
ORD2232832,CUS9844,B2C,Tomato Juice,Juices,3.33,1,0.0,3.33,Hessen,2022-05-19
ORD1731345,CUS916,B2B,Jever,Alcoholic Beverages,1.26,34,0.1,38.56,Bayern,2021-05-12
ORD2184430,CUS3305,B2C,Fritz-Kola,Soft Drinks,1.99,13,0.0,25.87,Berlin,2021-08-16
ORD2692831,CUS2754,B2B,Rockstar,Soft Drinks,2.8,63,0.05,167.58,Berlin,2023-09-27
ORD1669779,CUS3200,B2C,Johnnie Walker,Alcoholic Beverages,37.69,11,0.0,414.59,Niedersachsen,2023-06-20
ORD2252317,CUS7221,B2C,Evian,Water,1.31,6,0.0,7.86,Sachsen,2023-10-20
ORD1681785,CUS5730,B2C,Erdinger Weißbier,Alcoholic Beverages,1.98,15,0.0,29.7,Bayern,2022-02-25
ORD1840434,CUS6572,B2C,Passion Fruit Juice,Juices,2.93,5,0.0,14.65,Baden-Württemberg,2021-09-08
ORD1429396,CUS597,B2C,Moët & Chandon,Alcoholic Beverages,57.11,2,0.0,114.22,Hamburg,2021-04-17
ORD1642592,CUS8112,B2C,Veuve Clicquot,Alcoholic Beverages,112.46,12,0.0,1349.52,Berlin,2023-05-24
ORD717388,CUS2002,B2B,Vio Wasser,Water,2.35,60,0.15,119.85,Sachsen,2021-11-11
ORD947966,CUS4588,B2C,Granini Apple,Juices,1.69,10,0.0,16.9,Hamburg,2023-06-25
ORD139375,CUS5369,B2C,Mango Juice,Juices,3.31,10,0.0,33.1,Hessen,2023-11-22
ORD609240,CUS4383,B2C,Rotkäppchen Sekt,Alcoholic Beverages,8.29,13,0.0,107.77,Schleswig-Holstein,2022-10-16
ORD1974941,CUS9152,B2B,Passion Fruit Juice,Juices,3.87,75,0.1,261.23,Schleswig-Holstein,2021-07-28
ORD1044448,CUS9193,B2C,Chardonnay,Alcoholic Beverages,4.88,3,0.0,14.64,Sachsen,2022-11-11
ORD922340,CUS9099,B2B,Fritz-Kola,Soft Drinks,2.02,2,0.05,3.84,Berlin,2021-12-01
ORD2563900,CUS5528,B2C,Passion Fruit Juice,Juices,3.11,14,0.0,43.54,Mecklenburg-Vorpommern,2023-04-22
ORD2346831,CUS5529,B2B,Apollinaris,Water,0.89,30,0.05,25.36,Bremen,2023-10-24
ORD220876,CUS9038,B2C,Evian,Water,1.31,7,0.0,9.17,Baden-Württemberg,2023-05-04
ORD2075390,CUS5263,B2B,Veuve Clicquot,Alcoholic Beverages,67.99,38,0.05,2454.44,Hamburg,2021-05-21
ORD299364,CUS5878,B2C,Tomato Juice,Juices,3.23,15,0.0,48.45,Hessen,2021-03-23
ORD967946,CUS5584,B2C,Volvic,Water,0.57,5,0.0,2.85,Hessen,2022-09-15
ORD2708883,CUS5817,B2B,Fanta,Soft Drinks,0.97,33,0.1,28.81,Sachsen,2022-11-15
ORD508035,CUS673,B2B,Hohes C Orange,Juices,1.23,4,0.05,4.67,Hamburg,2021-01-08
ORD685611,CUS6566,B2B,Pepsi,Soft Drinks,1.13,100,0.15,96.05,Sachsen,2021-12-10
ORD119957,CUS1259,B2B,Schwip Schwap,Soft Drinks,1.14,2,0.05,2.17,Brandenburg,2023-04-13
ORD2192970,CUS5823,B2B,Fanta,Soft Drinks,0.94,72,0.05,64.3,Hessen,2023-03-12
ORD2302687,CUS9874,B2B,Hohes C Orange,Juices,1.66,19,0.05,29.96,Saarland,2023-10-11
ORD1770024,CUS9841,B2B,Johnnie Walker,Alcoholic Beverages,28.57,21,0.05,569.97,Nordrhein-Westfalen,2023-04-03
ORD2081424,CUS720,B2C,Moët & Chandon,Alcoholic Beverages,57.11,13,0.0,742.43,Berlin,2021-07-19
ORD957311,CUS3487,B2B,Selters,Water,0.42,50,0.1,18.9,Sachsen-Anhalt,2022-07-08
ORD2232298,CUS3453,B2C,Volvic,Water,0.58,1,0.0,0.58,Bremen,2023-05-29
ORD2769279,CUS5995,B2B,Jack Daniels,Alcoholic Beverages,34.85,82,0.1,2571.93,Mecklenburg-Vorpommern,2022-03-14
ORD219896,CUS1223,B2C,Sauvignon Blanc,Alcoholic Beverages,8.57,9,0.0,77.13,Sachsen-Anhalt,2021-11-29
ORD537872,CUS6584,B2B,Erdinger Weißbier,Alcoholic Beverages,1.55,38,0.1,53.01,Bayern,2022-07-05
ORD1738568,CUS6706,B2C,Mountain Dew,Soft Drinks,0.96,12,0.0,11.52,Baden-Württemberg,2022-12-22
ORD1862726,CUS3285,B2B,Selters,Water,0.5,29,0.05,13.77,Hessen,2022-02-08
ORD639462,CUS7851,B2C,Rockstar,Soft Drinks,2.27,4,0.0,9.08,Sachsen-Anhalt,2022-11-02
ORD734907,CUS8554,B2B,Club Mate,Soft Drinks,1.78,13,0.1,20.83,Bremen,2021-07-04
ORD2091967,CUS50,B2C,Augustiner,Alcoholic Beverages,1.09,6,0.0,6.54,Thüringen,2021-12-22
ORD2511357,CUS6900,B2C,Jack Daniels,Alcoholic Beverages,48.79,4,0.0,195.16,Sachsen-Anhalt,2021-06-20
ORD2657598,CUS9012,B2C,Gerolsteiner,Water,1.07,12,0.0,12.84,Bremen,2023-09-23
ORD2875924,CUS2535,B2B,Hohes C Orange,Juices,1.9,11,0.1,18.81,Mecklenburg-Vorpommern,2022-01-12
ORD2984242,CUS1650,B2B,Selters,Water,0.57,69,0.1,35.4,Berlin,2022-10-23
ORD2774110,CUS9489,B2B,Hohes C Orange,Juices,1.25,44,0.1,49.5,Mecklenburg-Vorpommern,2023-04-24
ORD1619162,CUS5414,B2C,Granini Apple,Juices,1.64,3,0.0,4.92,Bayern,2022-04-22
ORD2159835,CUS3895,B2B,Rockstar,Soft Drinks,1.88,40,0.05,71.44,Schleswig-Holstein,2023-06-18
ORD1663932,CUS9494,B2B,Sprite,Soft Drinks,1.29,48,0.1,55.73,Hessen,2022-05-10
ORD436222,CUS1665,B2C,Evian,Water,1.31,9,0.0,11.79,Mecklenburg-Vorpommern,2023-01-21
ORD2729161,CUS7480,B2B,Rockstar,Soft Drinks,2.28,9,0.05,19.49,Sachsen,2022-01-09
ORD2903013,CUS8587,B2C,Jever,Alcoholic Beverages,1.88,9,0.0,16.92,Schleswig-Holstein,2021-07-07
ORD2823168,CUS6687,B2C,Kölsch,Alcoholic Beverages,0.99,2,0.0,1.98,Bremen,2023-12-07
ORD1808209,CUS2384,B2C,Gerolsteiner,Water,1.07,2,0.0,2.14,Hamburg,2023-04-05
ORD753953,CUS7621,B2B,Monster,Soft Drinks,3.85,49,0.1,169.78,Sachsen-Anhalt,2023-10-23
ORD2783153,CUS9170,B2C,Rauch Multivitamin,Juices,2.31,13,0.0,30.03,Schleswig-Holstein,2021-02-13
ORD1737835,CUS6310,B2C,Volvic Touch,Water,1.38,15,0.0,20.7,Sachsen,2021-07-04
ORD448696,CUS7021,B2C,Passion Fruit Juice,Juices,2.93,2,0.0,5.86,Saarland,2021-02-04
ORD990185,CUS1606,B2C,Jever,Alcoholic Beverages,1.99,2,0.0,3.98,Niedersachsen,2023-06-04
ORD1059362,CUS709,B2C,Apollinaris,Water,0.93,1,0.0,0.93,Nordrhein-Westfalen,2021-06-28
ORD245554,CUS7220,B2B,Sauvignon Blanc,Alcoholic Beverages,5.33,35,0.1,167.9,Sachsen,2022-04-29
ORD2632850,CUS7262,B2C,Kölsch,Alcoholic Beverages,0.96,4,0.0,3.84,Niedersachsen,2022-04-18
ORD2407197,CUS437,B2C,Vio Wasser,Water,1.66,3,0.0,4.98,Sachsen-Anhalt,2022-07-08
ORD984098,CUS9108,B2B,Sprite,Soft Drinks,0.75,27,0.05,19.24,Sachsen,2021-06-06
ORD1204287,CUS3507,B2C,Gerolsteiner,Water,1.04,8,0.0,8.32,Berlin,2022-03-09
ORD777890,CUS7666,B2C,Hohes C Orange,Juices,1.86,5,0.0,9.3,Bayern,2023-11-07
ORD2446472,CUS5785,B2C,Rauch Multivitamin,Juices,2.38,2,0.0,4.76,Niedersachsen,2022-12-09
ORD823175,CUS3708,B2C,Passion Fruit Juice,Juices,3.02,15,0.0,45.3,Brandenburg,2022-07-27
ORD462267,CUS1074,B2C,Red Bull,Soft Drinks,2.22,6,0.0,13.32,Hamburg,2021-05-25
ORD1264208,CUS1789,B2B,Havana Club,Alcoholic Beverages,11.96,39,0.05,443.12,Saarland,2022-01-12
ORD547628,CUS1856,B2B,Mango Juice,Juices,2.77,81,0.1,201.93,Saarland,2021-06-18
ORD2327401,CUS1871,B2B,Mango Juice,Juices,3.52,65,0.1,205.92,Niedersachsen,2022-12-18
ORD1300228,CUS5411,B2C,Krombacher,Alcoholic Beverages,1.63,6,0.0,9.78,Nordrhein-Westfalen,2023-12-19
ORD2962136,CUS3226,B2C,Granini Apple,Juices,1.64,1,0.0,1.64,Sachsen-Anhalt,2022-07-02
ORD2483767,CUS6074,B2B,Hohes C Orange,Juices,1.44,6,0.05,8.21,Baden-Württemberg,2021-05-24
ORD982934,CUS2776,B2C,Sauvignon Blanc,Alcoholic Beverages,8.83,6,0.0,52.98,Bremen,2022-12-29
ORD1367267,CUS1259,B2B,Mountain Dew,Soft Drinks,0.62,37,0.1,20.65,Brandenburg,2022-10-19
ORD491822,CUS290,B2B,Riesling,Alcoholic Beverages,6.4,25,0.05,152.0,Rheinland-Pfalz,2022-07-27
ORD2556057,CUS5800,B2B,Cranberry Juice,Juices,3.42,57,0.1,175.45,Berlin,2021-11-24
ORD1860519,CUS3245,B2B,Apollinaris,Water,0.54,33,0.05,16.93,Thüringen,2021-07-03
ORD1302084,CUS8364,B2C,Fritz-Kola,Soft Drinks,1.99,15,0.0,29.85,Sachsen-Anhalt,2021-10-13
ORD2794732,CUS789,B2C,Moët & Chandon,Alcoholic Beverages,58.82,14,0.0,823.48,Schleswig-Holstein,2022-06-30
